Year,Rnd,DT,OvPck,RdPck,Signed,Bonus,Name,Pos,WAR,G,AB,HR,BA,OPS,G.1,W,L,ERA,WHIP,SV,Type,Drafted Out of,Round
1978,1,,8,8,Y,"$50,000",Nick Hernandez (minors),C,,,,,,,,,,,,,HS,"Hialeah HS (Hialeah, FL)",1
1977,1,,3,3,Y,"$77,500",Paul Molitor (minors),SS,75.7,2683.0,10835.0,234.0,0.306,0.817,,,,,,,4Yr,"University of Minnesota (Minneapolis, MN)",1
1976,1,,4,4,N,,Bill Bordley (minors),LHP,-0.1,8.0,6.0,0.0,0.167,0.452,8.0,2.0,3.0,4.7,1.79,0.0,HS,"Bishop Montgomery HS (Torrance, CA)",1
1975,1,,5,5,Y,"$52,000",Rick O'Keeffe (minors),LHP,,,,,,,,,,,,,HS,"Yorktown HS (Yorktown Heights, NY)",1
1974,1,,6,6,Y,"$47,500",Butch Edge (minors),RHP,0.1,0.0,0.0,0.0,,,9.0,3.0,4.0,5.23,1.63,0.0,HS,"El Camino Fundamental HS (Sacramento, CA)",1
1973,1,,3,3,Y,"$60,000",Robin Yount (minors),SS,77.4,2856.0,11008.0,251.0,0.285,0.772,,,,,,,HS,"William Howard Taft Charter HS (Woodland Hills, CA)",1
1972,1,,6,6,Y,"$50,000",Dan Thomas (minors),1B,0.8,54.0,175.0,6.0,0.274,0.82,,,,,,,4Yr,"Southern Illinois University Carbondale (Carbondale, IL)",1
1971,1,,3,3,Y,"$50,000",Tommy Bianco (minors),SS,-0.2,18.0,34.0,0.0,0.177,0.469,,,,,,,HS,"Sewanhaka HS (Floral Park, NY)",1
1970,1,,4,4,Y,"$70,000",Darrell Porter (minors),C,40.8,1782.0,5539.0,188.0,0.247,0.763,,,,,,,HS,"Southeast HS (Oklahoma City, OK)",1
1969,1,,21,21,Y,"$50,000",Gorman Thomas (minors),SS,19.8,1436.0,4677.0,268.0,0.225,0.772,,,,,,,HS,"James Island HS (Charleston, SC)",1
2023,2,,54,15,Y,"$1,250,000",Mike Boeve (minors),3B,,,,,,,,,,,,,4Yr,"University of Nebraska Omaha (Omaha, NE)",2
2022,2,,63,24,Y,"$2,350,000",Jacob Misiorowski (minors),P,,,,,,,,,,,,,JC,"Crowder College (Neosho, MO)",2
2022,2,,72,33,Y,"$800,000",Robert Moore (minors),SS,,,,,,,,,,,,,4Yr,"University of Arkansas (Fayetteville, AR)",2
2021,2,,51,15,Y,"$1,000,000",Russell Smith (minors),P,,,,,,,,,,,,,4Yr,"Texas Christian University (Fort Worth, TX)",2
2020,2,,53,16,Y,"$1,150,000",Freddy Zamora (minors),SS,,,,,,,,,,,,,4Yr,"University of Miami (Coral Gables, FL)",2
2019,2,,65,24,Y,"$1,025,100",Antoine Kelly (minors),P,,,,,,,,,,,,,JC,"Wabash Valley College (Mount Carmel, IL)",2
2018,2,,60,17,Y,"$1,113,500",Joe Gray (minors),OF,,,,,,,,,,,,,HS,"Hattiesburg HS (Hattiesburg, MS)",2
2018,2,,73,30,Y,"$550,000",Micah Bello (minors),OF,,,,,,,,,,,,,HS,"Hilo HS (Hilo, HI)",2
2017,2,,46,10,Y,"$1,450,000",Caden Lemons (minors),RHP,,,,,,,,,,,,,HS,"Vestavia Hills HS (Vestavia Hills, AL)",2
2016,2,,46,5,Y,"$1,150,000",Lucas Erceg (minors),3B,-0.1,0.0,0.0,,,,50.0,4.0,4.0,4.75,1.58,0.0,4Yr,"Menlo College (Atherton, CA)",2
2016,2,,75,34,Y,"$800,000",Mario Feliciano (minors),C,0.0,3.0,4.0,0.0,0.25,0.75,,,,,,,HS,"Carlos Beltran Baseball Academy (Florida, Puerto Rico)",2
2015,2,,55,13,Y,"$1,108,000",Cody Ponce (minors),RHP,-0.6,15.0,6.0,0.0,0.0,0.0,20.0,1.0,7.0,5.86,1.54,0.0,4Yr,"California State Polytechnic University, Pomona (Pomona, CA)",2
2014,2,,50,9,Y,"$1,800,000",Monte Harrison (minors),OF,0.1,50.0,68.0,2.0,0.177,0.547,,,,,,,HS,"Lee's Summit West HS (Lee's Summit, MO)",2
2013,2,,54,15,Y,"$1,350,000",Devin Williams (minors),RHP,7.4,68.0,1.0,0.0,0.0,0.0,219.0,26.0,10.0,1.89,1.03,54.0,HS,"Hazelwood West HS (Hazelwood, MO)",2
2013,2,,72,33,Y,"$771,000",Tucker Neuhaus (minors),SS,,,,,,,,,,,,,HS,"Paul R. Wharton HS (Tampa, FL)",2
2012,2,,92,32,Y,"$750,000",Tyrone Taylor (minors),CF,4.5,331.0,895.0,41.0,0.239,0.746,,,,,,,HS,"Torrance HS (Torrance, CA)",2
2011,2,,70,10,Y,"$690,000",Jorge L�pez (minors),RHP,-0.4,21.0,7.0,0.0,0.143,0.429,230.0,22.0,40.0,5.51,1.49,27.0,HS,"Caguas Military Academy (Caguas, Puerto Rico)",2
2010,2,,64,14,Y,"$570,600",Jimmy Nelson (minors),RHP,4.7,138.0,191.0,0.0,0.1,0.228,147.0,34.0,48.0,4.12,1.35,0.0,4Yr,"University of Alabama (Tuscaloosa, AL)",2
2009,2,,73,24,Y,"$499,000",*Max Walla (minors),RF,,,,,,,,,,,,,HS,"Albuquerque Academy (Albuquerque, NM)",2
2009,2,,74,25,Y,"$492,200",Cameron Garfield (minors),C,,,,,,,,,,,,,HS,"Murrieta Valley HS (Murrieta, CA)",2
2008,2,,53,7,Y,"$900,000",Seth Lintz (minors),RHP,,,,,,,,,,,,,HS,"Marshall County HS (Lewisburg, TN)",2
2008,2,,54,8,Y,"$737,000",Cutter Dykstra (minors),OF,,,,,,,,,,,,,HS,"Westlake HS (Westlake Village, CA)",2
2008,2,,62,16,Y,"$653,000",Cody Adams (minors),RHP,,,,,,,,,,,,,4Yr,"Southern Illinois University Carbondale (Carbondale, IL)",2
2006,2,,60,16,Y,"$600,000",Brent Brewer (minors),SS,,,,,,,,,,,,,HS,"Sandy Creek HS (Tyrone, GA)",2
2004,2,,46,5,Y,"$725,000",Yovani Gallardo (minors),RHP,22.3,221.0,427.0,12.0,0.201,0.563,319.0,121.0,101.0,4.06,1.37,1.0,HS,"Trimble Technical HS (Fort Worth, TX)",2
2003,2,,39,2,Y,"$875,000",Tony Gwynn (minors),OF,5.1,685.0,1600.0,7.0,0.238,0.619,,,,,,,4Yr,"San Diego State University (San Diego, CA)",2
2002,2,,48,7,Y,"$825,000",Josh Murray (minors),SS,,,,,,,,,,,,,HS,"Jesuit HS (Tampa, FL)",2
2001,2,,56,12,Y,"$735,000",J.J. Hardy (minors),SS,28.1,1561.0,5805.0,188.0,0.256,0.714,,,,,,,HS,"Sabino HS (Tucson, AZ)",2
1999,2,,61,10,Y,"$650,000",Kade Johnson (minors),C,,,,,,,,,,,,,JC,"Seminole State College (Seminole, OK)",2
1998,2,,56,13,Y,"$1,000,000",Nick Neugebauer (minors),RHP,-0.2,14.0,22.0,0.0,0.091,0.227,14.0,2.0,8.0,4.99,1.83,0.0,HS,"Arlington HS (Riverside, CA)",2
1997,2,,65,13,Y,,Alvin Morrow (minors),OF,,,,,,,,,,,,,HS,"Kirkwood HS (Kirkwood, MO)",2
1996,2,,43,8,Y,,Jose Garcia (minors),RHP,,,,,,,,,,,,,HS,"Baldwin Park HS (Baldwin Park, CA)",2
1995,2,,39,9,Y,,Mike Pasqualicchio (minors),LHP,,,,,,,,,,,,,4Yr,"Lamar University (Beaumont, TX)",2
1994,2,,38,4,Y,,Doug Webb (minors),RHP,,,,,,,,,,,,,4Yr,"San Diego State University (San Diego, CA)",2
1993,2,,43,1,Y,,*Brian Banks (minors),C,-1.2,273.0,495.0,13.0,0.247,0.706,,,,,,,4Yr,"Brigham Young University (Provo, UT)",2
1993,2,,65,23,Y,,Danny Klassen (minors),SS,-1.2,85.0,261.0,6.0,0.226,0.63,,,,,,,HS,"John Carroll Catholic HS (Fort Pierce, FL)",2
1992,2,,50,12,Y,,Bobby Hughes (minors),C,-0.6,133.0,319.0,12.0,0.238,0.678,,,,,,,4Yr,"University of Southern California (Los Angeles, CA)",2
1991,2s,,71,27,Y,,*Judd Wilstead (minors),RHP,,,,,,,,,,,,,HS,"Dixie HS (St. George, UT)",2
1990,2,,54,14,Y,,Larue Baber (minors),OF,,,,,,,,,,,,,HS,"Grant Union HS (Sacramento, CA)",2
1989,2,,47,17,Y,,Rusty Rugg (minors),LHP,,,,,,,,,,,,,HS,"Downsville HS (Downsville, LA)",2
1988,2,,54,24,Y,,Randy Snyder (minors),C,,,,,,,,,,,,,4Yr,"Washington State University (Pullman, WA)",2
1987,2,,45,13,Y,,Chris Johnson (minors),RHP,,,,,,,,,,,,,HS,"Red Bank HS (Hixson, TN)",2
1987,2,,55,23,Y,,*Curt Krippner (minors),RHP,,,,,,,,,,,,,4Yr,"University of Texas at Austin (Austin, TX)",2
1986,2,,34,6,Y,,Mark Ambrose (minors),RHP,,,,,,,,,,,,,4Yr,"Vanderbilt University (Nashville, TN)",2
1985,2,,29,1,Y,,Carl Moraw (minors),RHP,,,,,,,,,,,,,4Yr,"Bowling Green State University (Bowling Green, OH)",2
1984,2,,46,18,Y,,Bob Simonson (minors),OF,,,,,,,,,,,,,JC,"Taft College (Taft, CA)",2
1983,2,,54,26,Y,,Glenn Braggs (minors),OF,5.8,692.0,2336.0,70.0,0.257,0.726,,,,,,,4Yr,"University of Hawaii at Manoa (Honolulu, HI)",2
1982,2,,53,25,Y,,Bryan Duquette (minors),LHP,,,,,,,,,,,,,4Yr,"University of Hawaii at Manoa (Honolulu, HI)",2
1981,2,,47,21,Y,,Scott Roberts (minors),RHP,,,,,,,,,,,,,4Yr,"University of Hawaii at Manoa (Honolulu, HI)",2
1980,2,,51,25,Y,,Bob Schroeck (minors),LHP,,,,,,,,,,,,,4Yr,"Southern Illinois University Carbondale (Carbondale, IL)",2
1979,2,,49,23,Y,,Mark Higgins (minors),OF,,,,,,,,,,,,,HS,"Central Valley HS (Spokane Valley, WA)",2
1977,2,,29,3,Y,,Kevin Bass (minors),OF,14.7,1571.0,4839.0,118.0,0.27,0.735,,,,,,,HS,"Menlo School (Atherton, CA)",2
1976,2,,28,4,Y,,Melvin Manning (minors),SS,,,,,,,,,,,,,HS,"Hopewell HS (Hopewell, VA)",2
1975,2,,29,5,Y,,Charles Ross (minors),C,,,,,,,,,,,,,HS,"Tates Creek HS (Lexington, KY)",2
1974,2,,30,6,Y,,Moose Haas (minors),RHP,17.3,3.0,0.0,0.0,,,266.0,100.0,83.0,4.01,1.3,2.0,HS,"Franklin HS (Reisterstown, MD)",2
1973,2,,27,3,Y,,Joe Slaymaker (minors),LHP,,,,,,,,,,,,,HS,"Newport HS (Bellevue, WA)",2
1972,2,,30,6,Y,,Jerry Mantlo (minors),C,,,,,,,,,,,,,4Yr,"Arizona State University (Tempe, AZ)",2
1971,2,,27,3,Y,,Larry Anderson (minors),RHP,-0.5,0.0,0.0,0.0,,,16.0,2.0,3.0,5.66,1.69,0.0,HS,"El Rancho HS (Pico Rivera, CA)",2
1970,2,,28,4,N,,Ken Pape (minors),SS,0.3,21.0,23.0,1.0,0.217,0.748,,,,,,,HS,"Douglas MacArthur HS (San Antonio, TX)",2
1969,2,,45,21,Unk,,Steve Beasley (minors),1B,,,,,,,,,,,,,HS,"Jesup HS (Jesup, GA)",2
2023,3,,87,17,Y,"$1,750,000",Eric Bitonti (minors),SS,,,,,,,,,,,,,HS,"Aquinas HS (San Bernardino, CA)",3
2022,3,,102,22,Y,"$597,500",Dylan O'Rae (minors),SS,,,,,,,,,,,,,,,3
2021,3,,86,15,Y,"$700,000",Alex Binelas (minors),3B,,,,,,,,,,,,,4Yr,"University of Louisville (Louisville, KY)",3
2020,3,,92,20,Y,"$575,000",Zavier Warren (minors),C,,,,,,,,,,,,,4Yr,"Central Michigan University (Mount Pleasant, MI)",3
2017,3,,84,9,Y,"$667,000",K.J. Harrison (minors),C,,,,,,,,,,,,,4Yr,"Oregon State University (Corvallis, OR)",3
2016,3,,82,5,Y,"$700,000",Braden Webb (minors),RHP,,,,,,,,,,,,,4Yr,"University of South Carolina (Columbia, SC)",3
2015,3,,90,15,Y,"$800,000",Nash Walters (minors),RHP,0.0,0.0,0.0,0.0,,,1.0,0.0,0.0,0.0,6.0,0.0,HS,"Lindale HS (Lindale, TX)",3
2014,3,,85,11,Y,"$400,000",Cy Sneed (minors),RHP,-0.4,0.0,0.0,0.0,,,26.0,0.0,4.0,5.59,1.63,0.0,4Yr,"Dallas Baptist University (Dallas, TX)",3
2013,3,,90,17,Y,"$584,300",Barrett Astin (minors),RHP,-0.1,6.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,6.75,2.0,0.0,4Yr,"University of Arkansas (Fayetteville, AR)",3
2012,3,,122,27,Y,"$325,000",Zach Quintana (minors),RHP,,,,,,,,,,,,,HS,"Arbor View HS (Las Vegas, NV)",3
2011,3,,100,10,Y,"$340,000",Drew Gagnon (minors),RHP,-1.5,21.0,4.0,0.0,0.25,0.45,23.0,5.0,2.0,7.32,1.71,0.0,4Yr,"California State University, Long Beach (Long Beach, CA)",3
2010,3,,96,14,Y,"$351,900",Tyler Thornburg (minors),RHP,3.7,138.0,25.0,0.0,0.04,0.157,206.0,16.0,10.0,3.46,1.28,13.0,4Yr,"Charleston Southern University (Charleston, SC)",3
2009,3,,105,25,Y,"$304,200",Josh Prince (minors),SS,-0.1,8.0,8.0,0.0,0.125,0.472,,,,,,,4Yr,"Tulane University (New Orleans, LA)",3
2008,3,,94,17,Y,"$404,000",Logan Schafer (minors),OF,0.0,318.0,625.0,5.0,0.214,0.611,,,,,,,4Yr,"California Polytechnic State University, San Luis Obispo (San Luis Obispo, CA)",3
2007,3,,101,7,Y,"$349,000",Jonathan Lucroy (minors),C,17.7,1210.0,4140.0,108.0,0.274,0.752,,,,,,,4Yr,"University of Louisiana at Lafayette (Lafayette, LA)",3
2006,3,,92,16,Y,"$417,500",Cole Gillespie (minors),OF,-0.6,221.0,439.0,6.0,0.251,0.672,,,,,,,4Yr,"Oregon State University (Corvallis, OR)",3
2005,3,,85,5,Y,"$500,000",Will Inman (minors),RHP,,,,,,,,,,,,,HS,"Tunstall HS (Dry Fork, VA)",3
2004,3,,76,5,Y,"$400,000",Joshua Wahpepah (minors),RHP,,,,,,,,,,,,,JC,"Cowley Community College (Arkansas City, KS)",3
2003,3,,69,2,Y,"$500,000",Lou Palmisano (minors),C,,,,,,,,,,,,,JC,"Broward College (Fort Lauderdale, FL)",3
2002,3,,79,7,Y,"$470,000",Eric Thomas (minors),RHP,,,,,,,,,,,,,4Yr,"University of South Alabama (Mobile, AL)",3
2001,3,,88,12,Y,"$460,000",Jon Steitz (minors),RHP,,,,,,,,,,,,,4Yr,"Yale University (New Haven, CT)",3
2000,3,,81,11,Y,"$475,000",Dane Artman (minors),LHP,,,,,,,,,,,,,HS,"Westminster Academy (Fort Lauderdale, FL)",3
1999,3,,94,10,Y,"$375,000",Ruddy Lugo (minors),RHP,1.3,2.0,0.0,0.0,,,102.0,8.0,4.0,4.39,1.48,0.0,HS,"Xaverian HS (Brooklyn, NY)",3
1998,3,,86,13,Y,"$280,000",Derry Hammond (minors),OF,,,,,,,,,,,,,HS,"West Point HS (West Point, MS)",3
1997,3,,97,13,Y,,Jeff Deardorff (minors),3B,,,,,,,,,,,,,HS,"South Lake HS (Groveland, FL)",3
1996,3,,73,8,Y,,Kevin Barker (minors),OF,-0.3,126.0,285.0,6.0,0.249,0.683,,,,,,,4Yr,"Virginia Polytechnic Institute and State University (Blacksburg, VA)",3
1995,3,,68,9,Y,,Greg Schaub (minors),RHP,,,,,,,,,,,,,HS,"Solanco HS (Quarryville, PA)",3
1994,3,,67,4,Y,,Larry Barnes (minors),RHP,,,,,,,,,,,,,HS,"Englewood HS (Jacksonville, FL)",3
1993,3,,95,23,Y,,George Preston (minors),RHP,,,,,,,,,,,,,HS,"Brenham HS (Brenham, TX)",3
1992,3,,80,12,Y,,Danan Hughes (minors),OF,,,,,,,,,,,,,4Yr,"University of Iowa (Iowa City, IA)",3
1990,3,,87,14,Y,,Mike Carter (minors),SS,,,,,,,,,,,,,4Yr,"University of West Alabama (Livingston, AL)",3
1989,3,,63,3,Y,,*Bo Dodson (minors),1B,,,,,,,,,,,,,HS,"Christian Brothers HS (Sacramento, CA)",3
1989,3,,77,17,Y,,John Byington (minors),3B,,,,,,,,,,,,,4Yr,"Texas A&M University (College Station, TX)",3
1988,3,,81,24,Y,,Joe Andrzejewski (minors),RHP,,,,,,,,,,,,,HS,"Chesapeake HS (Pasadena, MD)",3
1987,3,,71,13,Y,,Jaime Navarro (minors),RHP,9.3,74.0,152.0,0.0,0.145,0.34,361.0,116.0,126.0,4.72,1.46,2.0,JC,"Miami Dade College (Miami, FL)",3
1986,3,,61,6,Y,,Tim McIntosh (minors),C,-1.2,71.0,117.0,2.0,0.18,0.485,,,,,,,4Yr,"University of Minnesota (Minneapolis, MN)",3
1985,3,,55,1,Y,,Shon Ashley (minors),SS,,,,,,,,,,,,,HS,"Meridian HS (Meridian, ID)",3
1984,3,,72,18,Y,,Warren Olson (minors),C,,,,,,,,,,,,,HS,"Medford HS (Medford, MA)",3
1983,3,,80,26,Y,,Jeff Reece (minors),LHP,,,,,,,,,,,,,4Yr,"Oregon State University (Corvallis, OR)",3
